paper_number,forum_id,spotlight,best_paper,title,abstract,authors,Decision
27,emePaiT4dY,FALSE,FALSE,IMBench: A Benchmark for Intuitive Robotic Manipulation,"Humans combine reasoning and motor control to solve complex manipulation tasks under diverse constraints. They build an understanding of the physical world that helps them convert reasoning into actions and quickly adapt to new scenes, tasks, and rules. We refer to
 this capability as intuitive manipulation. Existing benchmarks fail to capture this integration: they evaluate physical reasoning in isolation from execution, or measure policy performance without requiring explicit reasoning. We introduce IMBench, a benchmark designed to evaluate intuitive manipulation as an integrated capability spanning perception, physical reasoning, action generation, and iterative execution. Our tasks require models to infer task-relevant physical structure and generate feasible action sequences under explicit constraints, including contact-rich manipulation, tool use, and multi-stage dependencies. We introduce a benchmark of 35 tasks, 14K filtered trajectories, and scalable tools for generating diverse scenarios. Experiments reveal a consistent gap: vision-language models show partial physical reasoning ability but fail to produce executable plans, while state-of-the-art vision-language-action models struggle to satisfy task constraints and generalize across scenarios. These results identify intuitive manipulation as a missing axis in current foundation models and generalist robot policies, and position IMBench as a step toward evaluating and enabling more integrated, adaptive physical intelligence.","Anurag Maurya, Sukhvansh Jain, Prajwal Avhad, Gautham Balachandran, Ziyi Zhou, Atharva Kshirsagar, SATYAM SINGH, Bowen Li, Rishabh Mukund, Ritul Singh, Jatin Vira, Suvonil Chatterjee, Devesh K. Jha",Accept
29,ls1KjdmLKf,FALSE,FALSE,Endo-DyLat++: Semantic Readiness Monitoring for Endoscopic Vision-Language-Action Robots,"Semantic robot policies require more than action prediction: they also need to know when the current perceptual state is reliable enough for continued operation. This is critical in endoscopic robotics, where a visually plausible frame may precede target loss, occlusion, or unsafe loss of tracking. We present Endo-DyLat++, a lightweight monitoring scaffold that encourages a split between slowly varying anatomical/camera context and dynamic visual-risk evidence, predicts weak-proxy near-future target loss, degradation, and occlusion, and uses the resulting latents to estimate pre-action visual-state readiness. The method trains a static latent, a dynamic latent, future-risk heads, and a readiness verifier from weak mask-derived supervision. In a real-image pseudo-video benchmark built from Kvasir-SEG, a risk-first Endo-DyLat++ configuration is comparable to a strong frozen-DINOv2 single-latent baseline within seed variance, reduces variance on several aggregate metrics, and exposes a clear safety/coverage tradeoff. These results should not be interpreted as clinical validation or evidence of a deployed surgical robotic system; rather, they provide a compact testbed for converting endoscopic visual risk into an auditable pre-action readiness signal.","xiyue xiao, CHI KIT NG, Liu Xinxin, Hongliang Ren",Accept
30,epAYjMbKiq,FALSE,FALSE,Before the Needle: Semantic Action Contracts for Risk-Aware Robot Intervention,"Robots should not execute irreversible skills merely because a detector is confident. They need an explicit semantic contract that says when perception is sufficient, when another sensing action is useful, and when autonomy must defer. We study this problem through ultrasound-guided needle intervention, where probe motions are reversible information actions but needle insertion can cause harm. We introduce a robot action contract for semantic risk-affordance reasoning. The contract grounds candidate interventions as SAFE, CAUTION, CRITICAL, or UNKNOWN, partitions behavior into sense, act, and defer modes, and uses a policy-induced statistical monitor before irreversible control authority is released. In a feature-level CVC-POMDP, active sensing alone improves coverage but increases
 unsafe actions, while active sensing plus conformal deferral reduces false-safe interventions from 17.0% to 9.4% relative to passive thresholding. We further add a rendered ultrasound-like perception benchmark. A global image-risk classifier collapses into complete deferral or unsafe low-threshold action, whereas a spatial risk-affordance map reaches 0.784±0.016 mean IoU over five seeds and a Hoeffding-calibrated action contract achieves 71.1 ±1.7% act rate, 68.2 ±1.4% success, and 2.85 ±0.39% false-safe rate on held-out natural episodes. Under close-anatomy shift, the same contract defers on 97.8 ±0.7% of episodes. The message is that semantics should be executable: before a robot commits to an irreversible skill, perception must satisfy an action contract, not just a confidence threshold.","Mujtaba Hasan, Ankur Narang",Accept
31,bJYIsaF2Rl,FALSE,FALSE,Masked IRL: LLM-Guided Reward Disambiguation from Demonstrations and Language,"Robots can adapt to user preferences by learning reward functions from demonstrations, but with limited data, reward models often overfit to spurious correlations and fail to generalize. This happens because demonstrations show robots how to do a task but not what matters for that task, causing the model to focus on irrelevant state details. Natural language can more directly specify what the robot should focus on, and, in principle, disambiguate between many reward functions consistent with the demonstrations. However, existing language-conditioned reward learning methods typically treat instructions as simple conditioning signals, without fully exploiting their potential to resolve ambiguity. Moreover, real instructions are often ambiguous themselves, so naive conditioning is unreliable. Our key insight is that these two input types carry complementary information: demonstrations show how to act, while language specifies what is important. We propose Masked Inverse Reinforcement Learning (Masked IRL), a framework that uses large language models (LLMs) to combine the strengths of both input types. Masked IRL infers state-relevance masks from language instructions and enforces invariance to irrelevant state components. When instructions are ambiguous, it uses LLM reasoning to clarify them in the context of the demonstrations. In simulation and on a real robot, Masked IRL outperforms prior language-conditioned IRL methods by up to 15% while using up to 4.7 times less data, demonstrating improved sample-efficiency, generalization, and robustness to ambiguous language.","Minyoung Hwang, Alexandra Forsey-Smerek, Nathaniel S. Dennler, Andreea Bobu",Accept
32,N6fOr0sQpr,FALSE,FALSE,MolmoSpaces-CommonSense: Evaluating Commonsense in Robotic Manipulation Policies,"Real-world robotic manipulation requires reasoning about cluttered scenes, partially observable or hidden objects, and semantically appropriate actions. However, existing simulation benchmarks remain dominated by comparatively clean environments with limited clutter and narrowly scoped task structure, leaving many forms of commonsense reasoning untested. We address this by introducing a taxonomy of reasoning processes for robotic manipulation grounded in developmental cognitive science. We operationalize this taxonomy through a new benchmark of robot tasks, MolmoSpaces-CommonSense, that requires reasoning about occlusion, containment, support relations, semantically correct grasp points, spatial affordances, and hidden objects. These evaluations require policies not only to recognize relevant scene structure but also to execute correct actions in them. We evaluate several zero-shot generalist manipulation policies. Across model types and architectures, we observe consistent failures in commonsense reasoning: success rates in cluttered scenes drop by over 50% as distractors increase, policies act on incorrect objects in cluttered settings 30% of the time, and affordance-sensitive grasping remains unreliable even with highly specific language prompts, with correct object part selection happening only about 50% of the time. Further, VLM-based success estimation struggles to reliably evaluate rollouts in these settings, suggesting that the challenge extends beyond control to the broader perception-reasoning-action stack. Our results suggest that existing benchmarks may substantially overestimate zero-shot real-world readiness.","Arjun Guru, Max Argus, Jae Sung Park, Jiafei Duan, Ali Farhadi, Ranjay Krishna",Accept
33,VrqeRpw8d4,FALSE,FALSE,Visual-Geometric Policy Steering from Incontext Aligned Abstractions,"Robust generalization in robotics remains a major challenge. Adapting to out-of-distribution (OOD) settings with limited real-world data has been a key bottleneck to achieving truly generalist robots.
 The multimodality and low availability of robotics data aggravate this challenge, leading end-to-end approaches to overfit to certain behaviors, learn spurious correlations, and break under small distribution shifts. Policy steering approaches aim to alleviate these problems by adapting existing policies with informative correction signals. However, most works in this field ground their correction with a signal learned implicitly from robotic datasets, making them susceptible to the same distribution shifts as the policies they aim to correct. A few recent approaches leverage explicit spatial information in combination with Large Vision Models (LVMs) to guide the policy steering process. Nevertheless, these works are often limited to coarse corrections, missing the nuanced, task-relevant motion that most manipulation tasks require.
 In this work, we correct existing policies by transferring the nuanced motion of successful in-distribution rollouts, captured along meaningful geometric axes (object-relational distance pairs). We propose a framework that efficiently leverages these rollouts to provide a tailored visual-geometric guidance in OOD settings.
 Our approach combines the semantic understanding of LVMs and the reasoning of VLMs, which select the task-relevant entity pairs and distance projections, to improve the generalization in a variety of distribution-shift scenarios. We extensively evaluate our approach in simulation, showcasing the efficient correction of flow-matching policies under distribution shifts in pose and task goal.","Arthur Bucker, Jonathan Francis, Jean Oh",Accept
34,oQDHJcB7ep,FALSE,FALSE,TFP: Temporally Conditioned Memory-Fusion Policies for Visuomotor Learning,"Vision--Language--Action (VLA) policies such as $\pi_{0.5}$ and OpenVLA perform well on many manipulation tasks, but they are often reactive: the next action is predicted from the current observation, instruction, and proprioceptive state. This assumption breaks down in stage-dependent manipulation, where visually similar states may require different actions depending on latent task progress and previous interaction outcomes. We argue that such tasks require not only memory, but dynamics-aware belief updates: the policy should preserve task progress during stable or occluded phases and revise its belief near contact, release, or subgoal transitions. We introduce Temporally Conditioned Memory-Fusion Policies (TFP), a lightweight memory-action framework for VLA backbones. TFP maintains an episode-local task-progress belief with Liquid Time-Constant dynamics and injects the updated belief directly into the flow-matching action decoder through adaptive modulation. This lets temporally accumulated context shape the generated action chunk, rather than serving only as passive history context. With a 3.3B-parameter model, TFP improves the average success rate from \(96.9\%\) to \(98.75\%\) on LIBERO and from \(91.4\%\) to \(93.77\%\) on LIBERO-plus. On the memory-focused MIKASA ShellGameTouch diagnostic, TFP achieves success up to \(75.0\%\). Mechanistic analyses show that write-gain changes near manipulation events are about \(6\times\) larger than far non-event phases, and hidden-state interventions show that the belief causally modulates generated action chunks. These results suggest that compact, event-sensitive memory dynamics can improve VLA policies under occlusion, visual perturbation, and stage-dependent task structure.","Yushen Liang, Yue Peng, Baosheng Jin, Tianluo Zhang, Xinyu Zhang, Zhuoran Chen, Zhou Shuyi, Xinqi Liu, Shenji Wan",Accept
35,Va8jzOlGQT,FALSE,FALSE,Diagnosing Semantic Handoff Failures in Agent-Orchestrated Vision-Language-Action Skill Composition,"Long-horizon household tasks require robots to compose many language-conditioned skills, but the boundary between two skills is rarely explicit. A skill may satisfy its own postcondition while leaving the robot, objects, or camera views in a state from which the next skill cannot start. We study this \emph{semantic handoff} problem in BEHAVIOR-1K through an agent-orchestrated vision-language-action execution harness. The harness calls \(\pi_{0.5}\)-based skill checkpoints trained from cleaned BEHAVIOR-1K demonstrations, assigns each skill typed arguments and a step budget, and uses multi-view VLM verification to decide whether execution should advance, retry, or replan. To separate isolated skill competence from long-horizon composition, we compare the same checkpoints from clean skill-boundary snapshots and from chained terminal states produced by previous skills. Selected navigation, grasping, placement, and door-opening skills reach 77--100\% success from snapshots under human-reviewed verification, yet composed rollouts still stall from chained states. The resulting traces attribute failures to next-skill readiness, target grounding, and control execution, turning near-zero task success into actionable diagnostics for what VLA skill libraries must learn next: robustness to the messy chained-state distribution that clean demonstrations underrepresent.","Ke Rui, Yushen Zuo, Jiawei Wang, Haoran Jia, Jinming Ma, Weitao Zhou, Minglei Li",Accept
36,TiRAWVU9kg,FALSE,FALSE,Can Vision-Language Models See the Future for Robots? Coverage-Aware Human Motion Forecasting with Semantic Intent Residuals,"Robots that navigate around people need forecasts that are not only plausible, but valid, metric, and available at every control cycle. Vision-language models (VLMs) appear attractive as general semantic reasoning modules for such robots: they can describe motion, infer intent, and reason about scenes without task-specific training. We ask whether this semantic competence transfers to a robot-relevant structured prediction problem: given 8 observed pedestrian positions, can an off-the-shelf VLM output the next 12 metric positions in a form that a robot planner could consume? We evaluate GPT-4o, GPT-4o-mini, Gemini 2.5 Flash, and LLaVA-1.5-7B on ETH/UCY under text and rendered bird’s-eye-view inputs, multiple prompting strategies, and strict trajectory parsing. The central finding is that robot forecasting with VLMs is a coverage-aware problem. Under full-coverage zero-shot text evaluation, GPT-4o-mini obtains ADE 0.548 and GPT-4o obtains 0.561, statistically indistinguishable from constant velocity at 0.554. Gemini appears much stronger on parsed outputs (ADE 0.127), but parses only 33/250 samples; constant velocity obtains ADE 0.125 on the same subset, while the failed samples are nearly 5× harder. We formalize this as coverage-conditioned selection bias and argue that structured VLM modules for robots must be evaluated with coverage, matched-sample baselines, and fallback-aware risk. As a robot-centered semantic diagnostic, we introduce Reliability-Gated Intent-Guided Residual Forecasting (RIGF): a safe base forecast is always available, and semantic intent can modify it only through validation-gated residual experts. RIGF-Oracle improves ADE by 9.2% overall and 13.3% on high-nonlinearity trajectories, showing that correct intent is useful; however, GPT-4o-mini intent labels are 100% parseable but poorly calibrated (31.6% proxy intent accuracy), so direct VLM intent degrades forecasting. The resulting message for semantic robotics is constructive: current VLMs are unreliable as direct metric forecasters, but coverage-aware evaluation and gated semantic residuals provide a principled path for using VLMs as semantic sensors inside robot prediction stacks.",Mujtaba Hasan,Accept
37,TUvPBRVRR5,FALSE,FALSE,Spending Semantics Wisely: Inference Delegation in Heterogeneous Multi-Robot Teams via Monte Carlo Tree Search Guided Dialogue,"Effective robot operation in complex environments demands not just the ability to perform semantic inference, but the capacity to reason about where such inference is worth spending. While selective inference strategies have shown promise for single-robot systems, extending this principle to heterogeneous multi-robot teams introduces a fundamentally different challenge. Given agents that differ in onboard compute capacity, the team must collectively reason about which robot should perform deep semantic inference, on which observations, and in what order. We reframe this as a team-level semantic delegation problem and propose a Monte Carlo Tree Search (MCTS) guided actor-critic dialogue framework in which robots jointly deliberate over semantic scene graph observations to produce compute-aware delegation plans. A deterministic scoring function provides structured feedback at each dialogue step, grounding language model reasoning in task constraints. Evaluated on a collaborative object retrieval task, our framework consistently outperforms single-round planning in both constraint satisfaction and objects retrieved, across simulation and real-world experiments, demonstrating that structured multi-agent dialogue enhances semantically-grounded resource allocation in heterogeneous robot teams.","A Manicka Praveen, Yi Loo, Marcel Bartholomeus Prasetyo, Malika Meghjani",Accept
38,sKQOdPMP4K,FALSE,FALSE,Scene Graphs as Relational State Abstractions for Belief-Space Planning in Semi-Static Environments,"Robots searching for objects in human environments must operate under partial observability while adapting to semi-static environmental changes introduced by human activity over extended operation. Existing object-search POMDP formulations provide principled planning under uncertainty, but typically assume static environments and metric state representations. We propose a Scene Graph (SG)-based POMDP formulation for object search in semi-static environments, representing uncertainty directly over relational object states and modelling semi-static environmental dynamics through stochastic relational transitions. To instantiate this formulation, we integrate the long-horizon online planner with an SG-adapted belief update mechanism, forming a belief-space planning framework operating directly over relational scene representations. Simulations comparing to a conventional metric-based formulation demonstrate improved planning efficiency under identical planning conditions, providing empirical validation of the proposed framework and supporting the use of Scene Graphs as an effective structured state abstraction for object search under uncertainty in evolving environments.","Phan Tuan Kiet Le, Kavindie Katuwandeniya, Hanna Kurniawati, Dana Kulic",Accept
39,3ZnLUOXsV7,FALSE,FALSE,Communicating Cooperative Affordances: A Shared Physical-Effect Space for Semantic Goal Understanding in Cooperative Manipulation,"When one robot arm holds a part while
 another acts on it, the support arm must understand
 what its partner is trying to do — not merely where
 the contacts are. We present CoCoA, an ongoing ef-
 fort to make the goal of a manipulation primitive an
 explicit, grounded, and reusable semantic represen-
 tation for cooperative affordance prediction. A short
 natural-language prompt from the acting arm (e.g.
 “stabilize the desktop while I unscrew the leg”) is the
 only channel between the arms: there is no kinematic
 coupling. CoCoA turns this prompt into a structured,
 neuro-symbolic description of the intended physical
 effect through heads that predict operation, motion,
 axis, and expected failure mode, and then grounds
 that description in a shared physical-effect space where
 the language intent, a memory of past interaction
 attempts, and a latent prediction of the object’s mo-
 tion are aligned by task and by physical consequence.
 This shared space lets language retrieve goal-relevant
 experience, lets experience ground language, and lets
 unseen instructions transfer by proximity. We further
 add metacognitive corrective-prompt refinement after
 observed failures and a language–outcome reward that
 keeps the semantic representation tied to physics. We
 describe the representation, the three-phase training
 that builds it, and an evaluation protocol probing goal
 disambiguation, semantic memory retrieval, and zero-
 shot transfer. This is a work-in-progress report; we
 present the representation and training design and
 report diagnostic behavior of the shared space rather
 than final task-success numbers.","Josse Van de Kerckhove, Victor Tuytte, Pieter Van Molle, Bart Dhoedt, Pieter Simoens",Accept
